D:\Lab Python\Lab_2\dataset3\0001.jpg|dataset3\0001.jpg|rose
D:\Lab Python\Lab_2\dataset3\0002.jpg|dataset3\0002.jpg|rose
D:\Lab Python\Lab_2\dataset3\0003.jpg|dataset3\0003.jpg|rose
D:\Lab Python\Lab_2\dataset3\0004.jpg|dataset3\0004.jpg|rose
D:\Lab Python\Lab_2\dataset3\0005.jpg|dataset3\0005.jpg|rose
D:\Lab Python\Lab_2\dataset3\0006.jpg|dataset3\0006.jpg|rose
D:\Lab Python\Lab_2\dataset3\0007.jpg|dataset3\0007.jpg|rose
D:\Lab Python\Lab_2\dataset3\0008.jpg|dataset3\0008.jpg|rose
D:\Lab Python\Lab_2\dataset3\0009.jpg|dataset3\0009.jpg|rose
D:\Lab Python\Lab_2\dataset3\0010.jpg|dataset3\0010.jpg|rose
D:\Lab Python\Lab_2\dataset3\0011.jpg|dataset3\0011.jpg|rose
D:\Lab Python\Lab_2\dataset3\0012.jpg|dataset3\0012.jpg|rose
D:\Lab Python\Lab_2\dataset3\0013.jpg|dataset3\0013.jpg|rose
D:\Lab Python\Lab_2\dataset3\0014.jpg|dataset3\0014.jpg|rose
D:\Lab Python\Lab_2\dataset3\0015.jpg|dataset3\0015.jpg|rose
D:\Lab Python\Lab_2\dataset3\0016.jpg|dataset3\0016.jpg|rose
D:\Lab Python\Lab_2\dataset3\0017.jpg|dataset3\0017.jpg|rose
D:\Lab Python\Lab_2\dataset3\0018.jpg|dataset3\0018.jpg|rose
D:\Lab Python\Lab_2\dataset3\0019.jpg|dataset3\0019.jpg|rose
D:\Lab Python\Lab_2\dataset3\0020.jpg|dataset3\0020.jpg|rose
D:\Lab Python\Lab_2\dataset3\0021.jpg|dataset3\0021.jpg|rose
D:\Lab Python\Lab_2\dataset3\0022.jpg|dataset3\0022.jpg|rose
D:\Lab Python\Lab_2\dataset3\0023.jpg|dataset3\0023.jpg|rose
D:\Lab Python\Lab_2\dataset3\0024.jpg|dataset3\0024.jpg|rose
D:\Lab Python\Lab_2\dataset3\0025.jpg|dataset3\0025.jpg|rose
D:\Lab Python\Lab_2\dataset3\0026.jpg|dataset3\0026.jpg|rose
D:\Lab Python\Lab_2\dataset3\0027.jpg|dataset3\0027.jpg|rose
D:\Lab Python\Lab_2\dataset3\0028.jpg|dataset3\0028.jpg|rose
D:\Lab Python\Lab_2\dataset3\0029.jpg|dataset3\0029.jpg|rose
D:\Lab Python\Lab_2\dataset3\0030.jpg|dataset3\0030.jpg|rose
D:\Lab Python\Lab_2\dataset3\0031.jpg|dataset3\0031.jpg|rose
D:\Lab Python\Lab_2\dataset3\0032.jpg|dataset3\0032.jpg|rose
D:\Lab Python\Lab_2\dataset3\0033.jpg|dataset3\0033.jpg|rose
D:\Lab Python\Lab_2\dataset3\0034.jpg|dataset3\0034.jpg|rose
D:\Lab Python\Lab_2\dataset3\0035.jpg|dataset3\0035.jpg|rose
D:\Lab Python\Lab_2\dataset3\0036.jpg|dataset3\0036.jpg|rose
D:\Lab Python\Lab_2\dataset3\0037.jpg|dataset3\0037.jpg|rose
D:\Lab Python\Lab_2\dataset3\0038.jpg|dataset3\0038.jpg|rose
D:\Lab Python\Lab_2\dataset3\0039.jpg|dataset3\0039.jpg|rose
D:\Lab Python\Lab_2\dataset3\0040.jpg|dataset3\0040.jpg|rose
D:\Lab Python\Lab_2\dataset3\0041.jpg|dataset3\0041.jpg|rose
D:\Lab Python\Lab_2\dataset3\0042.jpg|dataset3\0042.jpg|rose
D:\Lab Python\Lab_2\dataset3\0043.jpg|dataset3\0043.jpg|rose
D:\Lab Python\Lab_2\dataset3\0044.jpg|dataset3\0044.jpg|rose
